# nqp_key	sc_name -- the census key of each Perl6/Grammar.nqp declaration and the Snocone pattern it becomes
startstops/starter	ss3_starter
startstops/stopper	ss3_stopper
startstop/starter	ss2_starter
startstop/stopper	ss2_stopper
stop/starter	ss1_starter
stop/stopper	ss1_stopper
STD/opener	std_opener
STD/starter	std_starter
STD/stopper	std_stopper
STD/babble	std_babble
STD/herestop/starter	std_herestop_starter
STD/herestop/stopper	std_herestop_stopper
STD/cheat_heredoc	std_cheat_heredoc
STD/quibble	std_quibble
STD/obsbrace	std_obsbrace
STD/experimental	std_experimental
STD/RESTRICTED	std_RESTRICTED
Perl6::Grammar/apostrophe	g_apostrophe
Perl6::Grammar/identifier	g_identifier
Perl6::Grammar/name	g_name
Perl6::Grammar/morename	g_morename
Perl6::Grammar/longname	g_longname
Perl6::Grammar/deflongname	g_deflongname
Perl6::Grammar/subshortname	g_subshortname
Perl6::Grammar/sublongname	g_sublongname
Perl6::Grammar/deftermnow	g_deftermnow
Perl6::Grammar/defterm	g_defterm
Perl6::Grammar/module_name	g_module_name
Perl6::Grammar/end_keyword	g_end_keyword
Perl6::Grammar/end_prefix	g_end_prefix
Perl6::Grammar/spacey	g_spacey
Perl6::Grammar/kok	g_kok
Perl6::Grammar/tok	g_tok
Perl6::Grammar/ENDSTMT	g_ENDSTMT
Perl6::Grammar/_ws	g__ws
Perl6::Grammar/unsp	g_unsp
Perl6::Grammar/vws	g_vws
Perl6::Grammar/vcs-conflict	g_vcsx2dconflict
Perl6::Grammar/unv	g_unv
Perl6::Grammar/install_doc_phaser	g_install_doc_phaser
Perl6::Grammar/vnum	g_vnum
Perl6::Grammar/version	g_version
Perl6::Grammar/comp_unit	g_comp_unit
Perl6::Grammar/lang-version	g_langx2dversion
Perl6::Grammar/statementlist	g_statementlist
Perl6::Grammar/semilist	g_semilist
Perl6::Grammar/sequence	g_sequence
Perl6::Grammar/label	g_label
Perl6::Grammar/statement	g_statement
Perl6::Grammar/eat_terminator	g_eat_terminator
Perl6::Grammar/xblock	g_xblock
Perl6::Grammar/pblock	g_pblock
Perl6::Grammar/lambda	g_lambda
Perl6::Grammar/block	g_block
Perl6::Grammar/blockoid	g_blockoid
Perl6::Grammar/unitstart	g_unitstart
Perl6::Grammar/you_are_here	g_you_are_here
Perl6::Grammar/newpad	g_newpad
Perl6::Grammar/newthunk	g_newthunk
Perl6::Grammar/finishpad	g_finishpad
Perl6::Grammar/bom	g_bom
Perl6::Grammar/terminator	g_terminator
Perl6::Grammar/terminator:sym<;>	g_terminator__x3b
Perl6::Grammar/terminator:sym<)>	g_terminator__x29
Perl6::Grammar/terminator:sym<]>	g_terminator__x5d
Perl6::Grammar/terminator:sym<}>	g_terminator__x7d
Perl6::Grammar/terminator:sym<ang>	g_terminator__ang
Perl6::Grammar/terminator:sym<if>	g_terminator__if
Perl6::Grammar/terminator:sym<unless>	g_terminator__unless
Perl6::Grammar/terminator:sym<while>	g_terminator__while
Perl6::Grammar/terminator:sym<until>	g_terminator__until
Perl6::Grammar/terminator:sym<for>	g_terminator__for
Perl6::Grammar/terminator:sym<given>	g_terminator__given
Perl6::Grammar/terminator:sym<when>	g_terminator__when
Perl6::Grammar/terminator:sym<with>	g_terminator__with
Perl6::Grammar/terminator:sym<without>	g_terminator__without
Perl6::Grammar/terminator:sym<arrow>	g_terminator__arrow
Perl6::Grammar/stdstopper	g_stdstopper
Perl6::Grammar/statement_control	g_statement_control
Perl6::Grammar/statement_control:sym<if>	g_statement_control__if
Perl6::Grammar/statement_control:sym<unless>	g_statement_control__unless
Perl6::Grammar/statement_control:sym<without>	g_statement_control__without
Perl6::Grammar/statement_control:sym<while>	g_statement_control__while
Perl6::Grammar/statement_control:sym<repeat>	g_statement_control__repeat
Perl6::Grammar/statement_control:sym<for>	g_statement_control__for
Perl6::Grammar/statement_control:sym<whenever>	g_statement_control__whenever
Perl6::Grammar/statement_control:sym<foreach>	g_statement_control__foreach
Perl6::Grammar/statement_control:sym<loop>	g_statement_control__loop
Perl6::Grammar/statement_control:sym<need>	g_statement_control__need
Perl6::Grammar/statement_control:sym<import>	g_statement_control__import
Perl6::Grammar/statement_control:sym<no>	g_statement_control__no
Perl6::Grammar/statement_control:sym<use>	g_statement_control__use
Perl6::Grammar/statement_control:sym<require>	g_statement_control__require
Perl6::Grammar/statement_control:sym<given>	g_statement_control__given
Perl6::Grammar/statement_control:sym<when>	g_statement_control__when
Perl6::Grammar/statement_control:sym<default>	g_statement_control__default
Perl6::Grammar/statement_control:sym<CATCH>	g_statement_control__CATCH
Perl6::Grammar/statement_control:sym<CONTROL>	g_statement_control__CONTROL
Perl6::Grammar/statement_control:sym<QUIT>	g_statement_control__QUIT
Perl6::Grammar/statement_prefix	g_statement_prefix
Perl6::Grammar/statement_prefix:sym<BEGIN>	g_statement_prefix__BEGIN
Perl6::Grammar/statement_prefix:sym<TEMP>	g_statement_prefix__TEMP
Perl6::Grammar/statement_prefix:sym<CHECK>	g_statement_prefix__CHECK
Perl6::Grammar/statement_prefix:sym<INIT>	g_statement_prefix__INIT
Perl6::Grammar/statement_prefix:sym<ENTER>	g_statement_prefix__ENTER
Perl6::Grammar/statement_prefix:sym<FIRST>	g_statement_prefix__FIRST
Perl6::Grammar/statement_prefix:sym<END>	g_statement_prefix__END
Perl6::Grammar/statement_prefix:sym<LEAVE>	g_statement_prefix__LEAVE
Perl6::Grammar/statement_prefix:sym<KEEP>	g_statement_prefix__KEEP
Perl6::Grammar/statement_prefix:sym<UNDO>	g_statement_prefix__UNDO
Perl6::Grammar/statement_prefix:sym<NEXT>	g_statement_prefix__NEXT
Perl6::Grammar/statement_prefix:sym<LAST>	g_statement_prefix__LAST
Perl6::Grammar/statement_prefix:sym<PRE>	g_statement_prefix__PRE
Perl6::Grammar/statement_prefix:sym<POST>	g_statement_prefix__POST
Perl6::Grammar/statement_prefix:sym<CLOSE>	g_statement_prefix__CLOSE
Perl6::Grammar/statement_prefix:sym<race>	g_statement_prefix__race
Perl6::Grammar/statement_prefix:sym<hyper>	g_statement_prefix__hyper
Perl6::Grammar/statement_prefix:sym<lazy>	g_statement_prefix__lazy
Perl6::Grammar/statement_prefix:sym<eager>	g_statement_prefix__eager
Perl6::Grammar/statement_prefix:sym<sink>	g_statement_prefix__sink
Perl6::Grammar/statement_prefix:sym<try>	g_statement_prefix__try
Perl6::Grammar/statement_prefix:sym<quietly>	g_statement_prefix__quietly
Perl6::Grammar/statement_prefix:sym<gather>	g_statement_prefix__gather
Perl6::Grammar/statement_prefix:sym<once>	g_statement_prefix__once
Perl6::Grammar/statement_prefix:sym<start>	g_statement_prefix__start
Perl6::Grammar/statement_prefix:sym<supply>	g_statement_prefix__supply
Perl6::Grammar/statement_prefix:sym<react>	g_statement_prefix__react
Perl6::Grammar/statement_prefix:sym<do>	g_statement_prefix__do
Perl6::Grammar/statement_prefix:sym<DOC>	g_statement_prefix__DOC
Perl6::Grammar/blorst	g_blorst
Perl6::Grammar/statement_mod_cond	g_statement_mod_cond
Perl6::Grammar/modifier_expr	g_modifier_expr
Perl6::Grammar/smexpr	g_smexpr
Perl6::Grammar/statement_mod_cond:sym<if>	g_statement_mod_cond__if
Perl6::Grammar/statement_mod_cond:sym<unless>	g_statement_mod_cond__unless
Perl6::Grammar/statement_mod_cond:sym<when>	g_statement_mod_cond__when
Perl6::Grammar/statement_mod_cond:sym<with>	g_statement_mod_cond__with
Perl6::Grammar/statement_mod_cond:sym<without>	g_statement_mod_cond__without
Perl6::Grammar/statement_mod_loop	g_statement_mod_loop
Perl6::Grammar/statement_mod_loop:sym<while>	g_statement_mod_loop__while
Perl6::Grammar/statement_mod_loop:sym<until>	g_statement_mod_loop__until
Perl6::Grammar/statement_mod_loop:sym<for>	g_statement_mod_loop__for
Perl6::Grammar/statement_mod_loop:sym<given>	g_statement_mod_loop__given
Perl6::Grammar/term:sym<fatarrow>	g_term__fatarrow
Perl6::Grammar/term:sym<colonpair>	g_term__colonpair
Perl6::Grammar/term:sym<variable>	g_term__variable
Perl6::Grammar/term:sym<package_declarator>	g_term__package_declarator
Perl6::Grammar/term:sym<scope_declarator>	g_term__scope_declarator
Perl6::Grammar/term:sym<routine_declarator>	g_term__routine_declarator
Perl6::Grammar/term:sym<multi_declarator>	g_term__multi_declarator
Perl6::Grammar/term:sym<regex_declarator>	g_term__regex_declarator
Perl6::Grammar/term:sym<circumfix>	g_term__circumfix
Perl6::Grammar/term:sym<statement_prefix>	g_term__statement_prefix
Perl6::Grammar/term:sym<**>	g_term__x2ax2a
Perl6::Grammar/term:sym<*>	g_term__x2a
Perl6::Grammar/term:sym<lambda>	g_term__lambda
Perl6::Grammar/term:sym<type_declarator>	g_term__type_declarator
Perl6::Grammar/term:sym<value>	g_term__value
Perl6::Grammar/term:sym<unquote>	g_term__unquote
Perl6::Grammar/term:sym<!!>	g_term__x21x21
Perl6::Grammar/term:sym<::?IDENT>	g_term__x3ax3ax3fIDENT
Perl6::Grammar/term:sym<p5end>	g_term__p5end
Perl6::Grammar/term:sym<p5data>	g_term__p5data
Perl6::Grammar/infix:sym<lambda>	g_infix__lambda
Perl6::Grammar/term:sym<undef>	g_term__undef
Perl6::Grammar/term:sym<new>	g_term__new
Perl6::Grammar/fatarrow	g_fatarrow
Perl6::Grammar/coloncircumfix	g_coloncircumfix
Perl6::Grammar/colonpair	g_colonpair
Perl6::Grammar/colonpair_variable	g_colonpair_variable
Perl6::Grammar/special_variable	g_special_variable
