program	class	m3_vs_m4	m3_vs_ref	m4_vs_ref
fileinfo	IDENTICAL	=	DIFF	DIFF
triplet	M3-MISS	-	-	-
023_arith_add	IDENTICAL	=	=	=
024_arith_subtract	IDENTICAL	=	=	=
025_arith_multiply	IDENTICAL	=	=	=
026_arith_divide	IDENTICAL	=	=	=
027_arith_exponent	IDENTICAL	=	=	=
028_arith_unary_minus	IDENTICAL	=	=	=
029_arith_precedence	IDENTICAL	=	=	=
030_arith_remdr	IDENTICAL	=	=	=
009_assign_string	IDENTICAL	=	=	=
010_assign_integer	IDENTICAL	=	=	=
011_assign_chain	IDENTICAL	=	=	=
012_assign_null	M3-MISS	-	-	-
013_assign_overwrite	IDENTICAL	=	=	=
014_assign_indirect_dollar	IDENTICAL	=	=	=
015_assign_indirect_var	IDENTICAL	=	=	=
016_assign_to_output	IDENTICAL	=	=	=
058_capture_dot_immediate	IDENTICAL	=	=	=
059_capture_dollar_deferred	IDENTICAL	=	=	=
060_capture_multiple	IDENTICAL	=	=	=
061_capture_in_arbno	M3-MISS	-	-	-
062_capture_replacement	IDENTICAL	=	=	=
063_capture_null_replace	IDENTICAL	=	=	=
064_capture_conditional	IDENTICAL	=	=	=
065_capture_then_arbno	IDENTICAL	=	=	=
066_capture_then_fenced_arbno	DIFFER	DIFF	=	DIFF
017_concat_two_strings	IDENTICAL	=	=	=
018_concat_three_strings	IDENTICAL	=	=	=
019_concat_var_string	IDENTICAL	=	=	=
020_concat_integer_string	IDENTICAL	=	=	=
021_concat_in_assignment	IDENTICAL	=	=	=
022_concat_multipart	IDENTICAL	=	=	=
expr_eval	M3-MISS	-	-	-
031_goto_unconditional	IDENTICAL	=	=	=
032_goto_loop_count	IDENTICAL	=	=	=
033_goto_success	IDENTICAL	=	=	=
034_goto_failure	IDENTICAL	=	=	=
035_goto_both_branches	IDENTICAL	=	=	=
036_goto_skip_to_end	IDENTICAL	=	=	=
037_goto_nested_labels	IDENTICAL	=	=	=
coverage_sno_nodes	BOTH-FAIL	-	-	-
091_array_create_access	IDENTICAL	=	=	=
092_array_loop_fill	IDENTICAL	=	=	=
093_table_create_access	IDENTICAL	=	=	=
094_data_define_access	IDENTICAL	=	=	=
095_data_field_set	IDENTICAL	=	=	=
096_data_datatype_check	IDENTICAL	=	=	=
060_pred_operand_edge	IDENTICAL	=	=	=
083_define_simple_return	IDENTICAL	=	=	=
084_define_loop_call	IDENTICAL	=	=	=
085_define_two_args	IDENTICAL	=	=	=
086_define_locals	IDENTICAL	=	=	=
087_define_freturn	IDENTICAL	=	=	=
088_define_recursive_fib	IDENTICAL	=	=	=
089_define_in_pattern	IDENTICAL	=	=	=
090_define_entry_label	IDENTICAL	=	=	=
097_define_capture_return_d2probe	M3-MISS	-	-	-
200_gc_churn_live_anchor	IDENTICAL	=	=	=
201_gc_live_globals	IDENTICAL	=	=	=
202_gc_array_strings	IDENTICAL	=	=	=
203_gc_table_string_keys	IDENTICAL	=	=	=
204_gc_recursive_frames	IDENTICAL	=	=	=
205_gc_data_records	IDENTICAL	=	=	=
206_gc_pattern_capture	IDENTICAL	=	=	=
207_gc_indirect_names	IDENTICAL	=	=	=
208_gc_shared_alias	IDENTICAL	=	=	=
209_gc_big_strings	IDENTICAL	=	=	=
210_gc_deep_nesting	IDENTICAL	=	=	=
211_gc_name_ref	IDENTICAL	=	=	=
212_gc_args_in_flight	IDENTICAL	=	=	=
213_gc_exhaustion_churn	IDENTICAL	=	=	=
214_gc_exhaustion_live_set	IDENTICAL	=	=	=
empty_string	M3-MISS	-	-	-
hello	IDENTICAL	=	=	=
literals	IDENTICAL	=	=	=
multi	IDENTICAL	=	=	=
076_builtin_ident	IDENTICAL	=	=	=
077_builtin_differ	IDENTICAL	=	=	=
078_builtin_gt	IDENTICAL	=	=	=
079_builtin_lt_le_ge	IDENTICAL	=	=	=
080_builtin_eq_ne	IDENTICAL	=	=	=
081_builtin_datatype	IDENTICAL	=	=	=
082_keyword_stcount	IDENTICAL	=	=	=
097_keyword_alphabet	IDENTICAL	=	=	=
098_keyword_anchor	IDENTICAL	=	=	=
099_keyword_rw	IDENTICAL	=	=	=
099_lexical_compare	IDENTICAL	=	=	=
100_roman_numeral	IDENTICAL	=	=	=
test_case	DIFFER	DIFF	DIFF	DIFF
test_math	IDENTICAL	=	=	=
test_stack	DIFFER	DIFF	=	DIFF
test_string	DIFFER	DIFF	DIFF	DIFF
001_output_string_literal	IDENTICAL	=	=	=
002_output_integer_literal	IDENTICAL	=	=	=
003_output_real_literal	IDENTICAL	=	=	=
004_output_empty_string	M3-MISS	-	-	-
005_output_multiline	IDENTICAL	=	=	=
006_output_keyword_alphabet	IDENTICAL	=	=	=
007_output_null_var	M3-MISS	-	-	-
008_output_double_quoted	IDENTICAL	=	=	=
038_pat_literal	IDENTICAL	=	=	=
039_pat_any	IDENTICAL	=	=	=
040_pat_notany	IDENTICAL	=	=	=
041_pat_span	IDENTICAL	=	=	=
042_pat_break	IDENTICAL	=	=	=
043_pat_len	IDENTICAL	=	=	=
044_pat_pos	IDENTICAL	=	=	=
045_pat_rpos	IDENTICAL	=	=	=
046_pat_tab	IDENTICAL	=	=	=
047_pat_rtab	IDENTICAL	=	=	=
048_pat_rem	IDENTICAL	=	=	=
049_pat_arb	M3-MISS	-	-	-
050_pat_alt_two	IDENTICAL	=	=	=
051_pat_alt_three	IDENTICAL	=	=	=
052_pat_arbno	IDENTICAL	=	=	=
053_pat_alt_commit	IDENTICAL	=	=	=
054_pat_arbno_alt	IDENTICAL	=	=	=
055_pat_concat_seq	IDENTICAL	=	=	=
056_pat_star_deref	IDENTICAL	=	=	=
057_pat_fail_builtin	IDENTICAL	=	=	=
058_pat_fence_keyword	IDENTICAL	=	=	=
059_pat_fence_fn_basic	IDENTICAL	=	=	=
060_pat_fence_fn_fail	IDENTICAL	=	=	=
061_pat_fence_fn_seal	IDENTICAL	=	=	=
